evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,participants,probaDiscu,probaDenonce,objective$om_trees,objective$om_stockMil,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,SRepreZ,om_nbCoupe,mySeed,nbChampsVisités,SPop,om_charette,om_stockMil,coordination,nbSurveillants,nbProTGMax,om_trees,om_ticks,engagésInitiaux,probaDenonce,RNA,nbCoupeurs,om_caughtCutter
470,1449,75.56661086318441,0.6003540743895912,4.475345593364017,11.171836951265174,57.390096862681055,79.80563909388786,-5052.0,-53981.23199999382,1,"[0.6003540743895912]","[90.25999999999999]","[75.56661086318441]","[11.171836951265174]","[4.475345593364017]","[5.0]","[57.390096862681055]","[false]","[137.0]","[1909380037]","[5.0]","[true]","[33.0]","[53981.23199999382]","[false]","[8.0]","[35.0]","[5052]","[8396.0]","[40.0]","[79.80563909388786]","[true]","[10.0]","[275.0]"
470,1449,74.73209232207421,0.5676689077395316,1.4014170806248711,21.703039686650623,76.44780814395452,73.61558867782227,-5416.0,-52290.53119999405,1,"[0.5676689077395316]","[92.53]","[74.73209232207421]","[21.703039686650623]","[1.4014170806248711]","[5.0]","[76.44780814395452]","[false]","[156.0]","[1699187350]","[5.0]","[true]","[24.0]","[52290.53119999405]","[false]","[8.0]","[35.0]","[5416]","[8396.0]","[40.0]","[73.61558867782227]","[true]","[10.0]","[278.0]"
470,1449,53.53303471638304,0.6103102949444605,2.464660860739264,20.689093450732862,44.48281068285533,31.476976480621683,-190.5,-43177.84919999831,8,"[0.6103102949444605,0.6103102949444605,0.6103102949444605,0.6103102949444605,0.6103102949444605,0.6103102949444605,0.6103102949444605,0.6103102949444605]","[26.8,29.13,30.220000000000002,28.09,29.13,27.85,28.73,27.35]","[53.53303471638304,53.53303471638304,53.53303471638304,53.53303471638304,53.53303471638304,53.53303471638304,53.53303471638304,53.53303471638304]","[20.689093450732862,20.689093450732862,20.689093450732862,20.689093450732862,20.689093450732862,20.689093450732862,20.689093450732862,20.689093450732862]","[2.464660860739264,2.464660860739264,2.464660860739264,2.464660860739264,2.464660860739264,2.464660860739264,2.464660860739264,2.464660860739264]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[44.48281068285533,44.48281068285533,44.48281068285533,44.48281068285533,44.48281068285533,44.48281068285533,44.48281068285533,44.48281068285533]","[false,false,false,false,false,false,false,false]","[2490.0,3018.0,2574.0,2389.0,2558.0,2550.0,2414.0,2199.0]","[-1920012269,2080540483,91590158,-1752918480,-1926017341,-1577912629,-1979912065,60427259]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[true,true,true,true,true,true,true,true]","[49.0,49.0,46.0,47.0,48.0,51.0,49.0,52.0]","[43306.930399998266,42953.36559999809,43257.60159999834,43223.547199998255,43213.280799998334,43046.51439999817,42305.58079999807,43142.417599998276]","[false,false,false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0]","[194,181,224,187,222,186,194,178]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0]","[31.476976480621683,31.476976480621683,31.476976480621683,31.476976480621683,31.476976480621683,31.476976480621683,31.476976480621683,31.476976480621683]","[true,true,true,true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[167.0,172.0,166.0,150.0,136.0,142.0,174.0,143.0]"
470,1449,74.83533092113055,0.7792970111402409,4.425719848891736,5.0,63.767953624939885,77.89298932956865,-5374.0,-53622.90959999387,1,"[0.7792970111402409]","[92.67999999999999]","[74.83533092113055]","[5.0]","[4.425719848891736]","[5.0]","[63.767953624939885]","[false]","[115.0]","[-2123211201]","[5.0]","[true]","[25.0]","[53622.90959999387]","[false]","[8.0]","[35.0]","[5374]","[8396.0]","[40.0]","[77.89298932956865]","[true]","[10.0]","[277.0]"
470,1449,73.8931327974267,0.8,4.152084382642391,5.0,62.24736095684798,72.2127255297893,-5114.0,-53938.66399999387,1,"[0.8]","[91.66]","[73.8931327974267]","[5.0]","[4.152084382642391]","[5.0]","[62.24736095684798]","[false]","[114.0]","[277966403]","[5.0]","[true]","[39.0]","[53938.66399999387]","[false]","[8.0]","[35.0]","[5114]","[8396.0]","[40.0]","[72.2127255297893]","[true]","[10.0]","[279.0]"
470,1449,73.99040318216487,0.727502736602446,4.1372168667839935,19.0085922753103,69.63028430936205,72.66240706363357,-5232.0,-51694.82959999443,3,"[0.727502736602446,0.727502736602446,0.727502736602446]","[91.77,89.34,89.7]","[73.99040318216487,73.99040318216487,73.99040318216487]","[19.0085922753103,19.0085922753103,19.0085922753103]","[4.1372168667839935,4.1372168667839935,4.1372168667839935]","[5.0,5.0,5.0]","[69.63028430936205,69.63028430936205,69.63028430936205]","[false,false,false]","[136.0,133.0,136.0]","[1126703545,-1625682333,-1701347544]","[5.0,5.0,5.0]","[true,true,true]","[22.0,30.0,38.0]","[52805.10319999392,50891.29599999448,51694.82959999443]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[5307,5232,5058]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[72.66240706363357,72.66240706363357,72.66240706363357]","[true,true,true]","[10.0,10.0,10.0]","[281.0,291.0,276.0]"
470,1449,53.134750496518215,0.7912975949822434,3.6335163255248792,23.369754253768956,67.58524122847797,79.60928563537288,-5184.0,-53842.76079999368,1,"[0.7912975949822434]","[93.03]","[53.134750496518215]","[23.369754253768956]","[3.6335163255248792]","[5.0]","[67.58524122847797]","[false]","[167.0]","[1922731482]","[5.0]","[true]","[31.0]","[53842.76079999368]","[false]","[8.0]","[35.0]","[5184]","[8396.0]","[40.0]","[79.60928563537288]","[true]","[10.0]","[271.0]"
470,1449,53.1368493847277,0.7899200192966251,3.6449081932127214,23.401596751427313,67.55330603268067,79.29928503756929,-4978.0,-51810.76479999421,6,"[0.7899200192966251,0.7899200192966251,0.7899200192966251,0.7899200192966251,0.7899200192966251,0.7899200192966251]","[92.28,89.84,90.88000000000001,89.66,92.08,90.2]","[53.1368493847277,53.1368493847277,53.1368493847277,53.1368493847277,53.1368493847277,53.1368493847277]","[23.401596751427313,23.401596751427313,23.401596751427313,23.401596751427313,23.401596751427313,23.401596751427313]","[3.6449081932127214,3.6449081932127214,3.6449081932127214,3.6449081932127214,3.6449081932127214,3.6449081932127214]","[5.0,5.0,5.0,5.0,5.0,5.0]","[67.55330603268067,67.55330603268067,67.55330603268067,67.55330603268067,67.55330603268067,67.55330603268067]","[false,false,false,false,false,false]","[189.0,188.0,191.0,179.0,166.0,162.0]","[1409866607,131671192,-1587881289,1339369149,-437746739,1088022091]","[5.0,5.0,5.0,5.0,5.0,5.0]","[true,true,true,true,true,true]","[29.0,39.0,32.0,29.0,37.0,33.0]","[51849.32639999421,52836.90399999412,51772.20319999423,51583.151199994405,51573.38559999411,52532.16719999417]","[false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0]","[5098,4666,4995,4961,5198,4788]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0]","[79.29928503756929,79.29928503756929,79.29928503756929,79.29928503756929,79.29928503756929,79.29928503756929]","[true,true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0,10.0]","[275.0,268.0,273.0,267.0,276.0,273.0]"
470,1449,73.62401721955894,0.5894284377911019,1.0,22.129668672775615,80.0,67.44792049117643,-5145.5,-53160.671199993885,2,"[0.5894284377911019,0.5894284377911019]","[93.02,90.53999999999999]","[73.62401721955894,73.62401721955894]","[22.129668672775615,22.129668672775615]","[1.0,1.0]","[5.0,5.0]","[80.0,80.0]","[false,false]","[168.0,185.0]","[1306218395,-9008731]","[5.0,5.0]","[true,true]","[40.0,32.0]","[53158.918399993825,53162.42399999395]","[false,false]","[8.0,8.0]","[35.0,35.0]","[5062,5229]","[8396.0,8396.0]","[40.0,40.0]","[67.44792049117643,67.44792049117643]","[true,true]","[10.0,10.0]","[285.0,280.0]"
470,1449,47.88365679304892,0.7685155383044755,2.7150647259452514,25.769803324653907,62.68375233717723,73.39752652415567,-4801.0,-52706.19519999403,7,"[0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755]","[88.62,90.16999999999999,90.25,91.03,91.66,89.82,90.0]","[47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892]","[25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907]","[2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723]","[false,false,false,false,false,false,false]","[281.0,287.0,296.0,261.0,228.0,273.0,247.0]","[1775144375,-1316938213,-349328432,-1752363544,-1001348077,1294875794,99693079]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[true,true,true,true,true,true,true]","[37.0,31.0,32.0,38.0,26.0,35.0,38.0]","[52457.798399994164,53999.761599993915,53666.479199994,52977.378399994086,52192.3743999941,52706.19519999403,52236.44479999426]","[false,false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0,35.0]","[4461,4801,4386,4819,4892,4707,4801]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0,40.0]","[73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567]","[true,true,true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[267.0,278.0,268.0,267.0,273.0,268.0,270.0]"
